asset_name	original_path	asset_bytes	asset_sha256	original_sha256	mode
model.safetensors.part-aa	model.safetensors	1992294400	bd7086953b4bda018c097af21f67546494143accf0ced8721a422c3b6a5948b5	71c6a2f6e1a5d4c3e4465fdfe452989485f86e2bf9fddad61e03706e6a5fe871	split
model.safetensors.part-ab	model.safetensors	1771604148	f5fcd185faf6a8c6cd1aa566ca51cd13b76d847537a187d8d8ea3ccc3ecf5d25	71c6a2f6e1a5d4c3e4465fdfe452989485f86e2bf9fddad61e03706e6a5fe871	split
